epoch,accuracy,loss,val_accuracy,val_loss
0,0.4800961,1.6187231105951934,0.44317573,1.9650898462931314
0,0.35546786,1.8955479807123878,0.3362046,2.064107422129313
0,0.3198067,2.1284941706224316,0.3679888,1.9801139785766602
1,0.41901168,1.7109946386679389,0.36051014,2.1677077944437664
2,0.46794212,1.583389749900069,0.4397703,1.8385990715026856
3,0.5003146,1.5122704946921146,0.34268162,2.5024411153157553
4,0.5229353,1.4607204607656143,0.50821316,1.6216327242533366
5,0.539722,1.4113387945614153,0.3601095,3.0752304387410483
6,0.55925417,1.366769527385339,0.3976362,2.134311040242513
7,0.5708362,1.3382914403406168,0.5558894,1.4047745615641276
8,0.5899966,1.3001627165784118,0.4941907,1.8868521288553874
9,0.5976321,1.2815211526154653,0.5218349,1.783306989924113
10,0.6425875,1.1534845367827422,0.65658385,1.1084073328653972
11,0.6548273,1.1111339073081878,0.6730102,1.0692809860229493
12,0.66203386,1.0878750685968053,0.66466343,1.0935609137217204
13,0.67235756,1.0634255222013138,0.66546476,1.1019306816101073
14,0.6733013,1.0500416464675784,0.68963677,1.0120993556340536
15,0.6781915,1.0350504126872768,0.6746127,1.0800129400889078
16,0.68107986,1.0216927062971481,0.65978897,1.1412151819864909
17,0.68820065,1.005709649045962,0.671875,1.123394654083252
18,0.69294786,0.9911063237256792,0.7138088,0.9531950604756673
19,0.69537866,0.9856939906387792,0.70666397,0.9664507550557454
20,0.70064056,0.9717067751996824,0.68543005,1.068563627243042
21,0.7028998,0.9597749089491064,0.6784856,1.0977206181208292
22,0.7065031,0.9534794215314913,0.7150107,0.939125591023763
23,0.70827615,0.9415247141155818,0.7129407,0.9452655572891235
24,0.717599,0.9217777640561549,0.7071982,1.004872955385844
25,0.7162263,0.9179148281828758,0.7290331,0.910286686261495
26,0.7215454,0.9029786850625551,0.71915066,0.9750669547398885
27,0.7251773,0.899184781322488,0.70205665,1.0354944037119547
28,0.7320693,0.8840754463999366,0.73751336,0.9109130930582682
29,0.7359872,0.8735512973950782,0.7299012,0.9274728720347086
30,0.73927593,0.8635099586947399,0.7071314,1.013960313542684
31,0.7437657,0.8508472268626663,0.7383146,0.9173625157038371
32,0.74808395,0.8413407603217818,0.74485844,0.8774833213806152
33,0.7512583,0.8321526546932091,0.6852965,1.1806127274195353
34,0.75163007,0.8305055206712719,0.73497593,0.9606522026062012
35,0.75291693,0.8221245373012653,0.7339076,0.9432357639948526
36,0.75903684,0.8092643995084307,0.7445246,0.9166760774612427
37,0.7610959,0.8045582147845686,0.75961536,0.8517966952006022
38,0.7641272,0.7939904528115822,0.74793005,0.8821080238342285
39,0.7661004,0.7877509662554646,0.75213677,0.8962424680709838
40,0.769046,0.7773841689582603,0.7511352,0.8743157023747762
41,0.77499425,0.7630358722629386,0.76502407,0.8303268589655558
42,0.7746511,0.7674631541993301,0.77524036,0.8121096267700195
43,0.7749371,0.7578820061612745,0.75293803,0.8907929290771485
44,0.77991307,0.7462077671127171,0.77210206,0.7999665096282959
45,0.78260124,0.7456665756881878,0.76595885,0.8419187677383423
46,0.7856898,0.7357940238759219,0.7648905,0.8441784325917562
47,0.7856898,0.7295312687014857,0.76696044,0.8244455815633138
48,0.7906086,0.7229747179170354,0.7647569,0.8393481211980184
49,0.790294,0.7163968402197748,0.75974894,0.8511533480962118
